address,category_name,city,local_guid,likes_count,name,permanently_closed,publish_at,published_at_date,reviewer_number_of_reviews,reviews_count,reviews_distb_fivestar,reviews_distb_fourstar,reviews_distb_onestar,reviews_distb_threestar,reviews_distb_twostar,stars,temporarily_closed,text,title,total_score
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,Junaid Aftab,FALSE,3 years ago,2019-05-22T16:51:38.824Z,24,433,210,114,25,62,22,2,FALSE,,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,Shalan Tariq Abbasi,FALSE,3 years ago,2019-05-17T20:37:57.273Z,9,433,210,114,25,62,22,1,FALSE,,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,Le Roi,FALSE,3 years ago,2019-05-16T12:31:03.719Z,77,433,210,114,25,62,22,1,FALSE,Very very poor service. We were in a group of over 20 people and at 2300h the wait staff started shifting tables and chairs: a clear sign that we were no longer welcome. The Manager came and apologized for their behavior but it was too late. Will not be going back there!,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,Mohammad saqib Pakistani,FALSE,3 years ago,2019-05-14T00:21:39.955Z,128,433,210,114,25,62,22,1,FALSE,"Very pathetic experience of Having Aftaar Dinner buffet in this restaurant. It was a absolutely useless and money wasting amount of 2800 for this buffet dinner!

Bad taste may compromised but non fresh food can never be!

I heard good reviews soi thought to try it but got disappointed!

Best example of ""big boost little cost""",Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,FALSE,0,Zeeba Alvi,FALSE,3 years ago,2019-05-10T17:19:00.064Z,174,433,210,114,25,62,22,2,FALSE,"It was very crowded.
I did not like it.The cooling was not sufficient",Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,Shahzad Khan,FALSE,3 years ago,2019-04-21T11:56:24.893Z,9,433,210,114,25,62,22,2,FALSE,Just an average place. Not worth the price.,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,PK Manglani,FALSE,3 years ago,2019-04-20T10:08:47.754Z,22,433,210,114,25,62,22,2,FALSE,,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,FALSE,0,rabab ila,FALSE,3 years ago,2019-04-06T10:06:12.114Z,6,433,210,114,25,62,22,2,FALSE,Mostly freezers stored stuff .....,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,Anaya Naqvi,FALSE,3 years ago,2019-03-24T09:29:30.598Z,1,433,210,114,25,62,22,1,FALSE,,Al Bustan Restaurant,4.1
"Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt, Civil Lines Karachi, Karachi City, Sindh, Pakistan             Shapes Health Club Compound Old Railway Club, 139 McNiel Road, Cantt? ??? ????? ?????, ??? ?????, ????",Restaurant,Karachi,TRUE,0,Khalid Masood Khan,FALSE,3 years ago,2019-03-21T13:02:09.442Z,38,433,210,114,25,62,22,2,FALSE,So so,Al Bustan Restaurant,4.1
